DISEASE|MEAL_TYPE|MEAL_NAME|INGREDIENTS|FOOD_TYPE|CUISINE
Thyroid|Breakfast|Mushroom Omelette|eggs,mushrooms,salt,pepper|Non-Vegetarian|Pakistani
Thyroid|Breakfast|Rice Bran Roti with Dal|rice bran roti,moong dal|Vegan|Pakistani
Thyroid|Breakfast|Almond Milk with Dates|almond milk,dates,cinnamon|Vegan|Pakistani
Thyroid|Lunch|Fish Curry|fish,tomato,onion,spices|Non-Vegetarian|Pakistani
Thyroid|Lunch|Chicken Palak|chicken,spinach,onion,tomato,spices|Non-Vegetarian|Pakistani
Thyroid|Lunch|Masoor Dal|masoor dal,onion,garlic,tomato,spices|Vegan|Pakistani
Thyroid|Lunch|Moong Dal Soup|moong dal,garlic,cumin,water|Vegan|Pakistani
Thyroid|Lunch|Grilled Tuna|tuna,lemon,garlic,spices|Non-Vegetarian|Pakistani
Thyroid|Lunch|Chana Dal|chana dal,onion,tomato,spices|Vegan|Pakistani
Thyroid|Lunch|Chicken Tikka with Salad|chicken,yogurt,spices,salad|Non-Vegetarian|Pakistani
Thyroid|Lunch|Lobia Curry|black eyed peas,onion,tomato,spices|Vegan|Pakistani
Thyroid|Lunch|Saag Gosht|saag,mutton,onion,garlic,spices|Non-Vegetarian|Pakistani
Thyroid|Lunch|Brown Rice with Vegetables|brown rice,mixed vegetables,spices|Vegan|Pakistani
Thyroid|Lunch|Keema Methi|keema,methi,onion,tomato,spices|Non-Vegetarian|Pakistani
Thyroid|Lunch|Bhindi Curry|bhindi,onion,tomato,spices|Vegan|Pakistani
Thyroid|Lunch|Chicken Yakhni|chicken,ginger,garlic,water,spices|Non-Vegetarian|Pakistani
Thyroid|Lunch|Egg Curry|eggs,onion,tomato,spices|Non-Vegetarian|Pakistani
Thyroid|Lunch|Daal Mash|urad dal,garlic,onion,tomato,spices|Vegan|Pakistani
Thyroid|Lunch|Sindhi Fish|fish,tomato,tamarind,spices|Non-Vegetarian|Pakistani
Thyroid|Lunch|Mixed Vegetable Curry|mixed vegetables,onion,tomato,spices|Vegan|Pakistani
Thyroid|Lunch|Mutton Curry|mutton,onion,tomato,spices|Non-Vegetarian|Pakistani
Thyroid|Lunch|Palak Paneer|spinach,paneer,onion,tomato,spices|Vegetarian|Pakistani
Thyroid|Lunch|Chickpea Curry|chickpeas,onion,tomato,spices|Vegan|Pakistani
Thyroid|Lunch|Turkey Keema|turkey keema,onion,tomato,spices|Non-Vegetarian|Pakistani
Thyroid|Lunch|Rajma Curry|kidney beans,onion,tomato,spices|Vegan|Pakistani
Thyroid|Lunch|Grilled Chicken|chicken,lemon,garlic,spices|Non-Vegetarian|Pakistani
Thyroid|Lunch|Arvi Gosht|arvi,mutton,tomato,spices|Non-Vegetarian|Pakistani
Thyroid|Lunch|Lauki Dal|lauki,dal,tomato,spices|Vegan|Pakistani
Thyroid|Lunch|Fish Tikka|fish,yogurt,spices,lemon|Non-Vegetarian|Pakistani
Thyroid|Lunch|Pumpkin Curry|pumpkin,onion,tomato,spices|Vegan|Pakistani
Thyroid|Lunch|Chicken Soup|chicken,vegetables,ginger,salt|Non-Vegetarian|Pakistani
Thyroid|Lunch|Lentil Soup|mixed lentils,garlic,cumin,tomato|Vegan|Pakistani
Thyroid|Lunch|Aloo Palak|potato,spinach,onion,tomato,spices|Vegan|Pakistani
Thyroid|Dinner|Grilled Salmon|salmon,lemon,garlic,spices|Non-Vegetarian|Pakistani
Thyroid|Dinner|Chicken Saag|chicken,spinach,onion,tomato,spices|Non-Vegetarian|Pakistani
Thyroid|Dinner|Moong Dal Khichdi|moong dal,rice,turmeric,salt|Vegan|Pakistani
Thyroid|Dinner|Fish Shorba|fish,ginger,garlic,water,spices|Non-Vegetarian|Pakistani
Thyroid|Dinner|Palak Paneer|spinach,paneer,onion,tomato,spices|Vegetarian|Pakistani
Thyroid|Dinner|Mutton Yakhni|mutton,ginger,garlic,water,spices|Non-Vegetarian|Pakistani
Thyroid|Dinner|Chana Dal with Roti|chana dal,wheat roti,spices|Vegan|Pakistani
Thyroid|Dinner|Grilled Chicken|chicken,lemon,garlic,spices|Non-Vegetarian|Pakistani
Thyroid|Dinner|Lauki Sabzi|lauki,onion,tomato,spices|Vegan|Pakistani
Thyroid|Dinner|Egg Bhurji with Roti|eggs,onion,tomato,wheat roti|Non-Vegetarian|Pakistani
Thyroid|Dinner|Masoor Soup|masoor dal,tomato,garlic,spices|Vegan|Pakistani
Thyroid|Dinner|Bhindi Gosht|bhindi,mutton,onion,tomato,spices|Non-Vegetarian|Pakistani
Thyroid|Dinner|Steamed Fish|fish,lemon,garlic,spices|Non-Vegetarian|Pakistani
Thyroid|Dinner|Mixed Vegetable Soup|mixed vegetables,garlic,salt,water|Vegan|Pakistani
Thyroid|Dinner|Daal Mash with Roti|urad dal,wheat roti,spices|Vegan|Pakistani
Thyroid|Dinner|Chicken Tikka|chicken,yogurt,spices,lemon|Non-Vegetarian|Pakistani
Thyroid|Dinner|Baingan Bharta|baingan,onion,tomato,spices|Vegan|Pakistani
Thyroid|Dinner|Lobia Soup|black eyed peas,tomato,onion,spices|Vegan|Pakistani
Thyroid|Dinner|Turkey Mince Curry|turkey mince,onion,tomato,spices|Non-Vegetarian|Pakistani
Thyroid|Dinner|Arvi Sabzi|arvi,onion,tomato,spices|Vegan|Pakistani
Thyroid|Dinner|Turai Gosht|turai,mutton,onion,spices|Non-Vegetarian|Pakistani
Thyroid|Dinner|Saag with Makki Roti|saag,makki roti,butter|Vegetarian|Pakistani
Thyroid|Dinner|Aloo Methi|potato,methi,onion,spices|Vegan|Pakistani
Thyroid|Dinner|Chicken Shorba|chicken,ginger,garlic,water,spices|Non-Vegetarian|Pakistani
Thyroid|Dinner|Stuffed Capsicum|capsicum,paneer,onion,spices|Vegetarian|Pakistani
Thyroid|Dinner|Fish Curry|fish,tomato,onion,spices|Non-Vegetarian|Pakistani
Thyroid|Dinner|Lentil Soup|mixed lentils,garlic,cumin,tomato|Vegan|Pakistani
Thyroid|Dinner|Grilled Mutton Chops|mutton,spices,lemon,garlic|Non-Vegetarian|Pakistani
Thyroid|Dinner|Vegetable Khichdi|rice,mixed vegetables,turmeric|Vegan|Pakistani
Thyroid|Dinner|Egg Salad|eggs,cucumber,tomato,lettuce,lemon|Non-Vegetarian|Pakistani
Thyroid|Snacks|Brazil Nuts|brazil nuts|Vegan|Pakistani
Thyroid|Snacks|Pumpkin Seeds|pumpkin seeds,salt|Vegan|Pakistani
Thyroid|Snacks|Boiled Egg|egg,salt,pepper|Non-Vegetarian|Pakistani
Thyroid|Snacks|Mushroom Soup|mushrooms,garlic,water,salt|Vegan|Pakistani
Thyroid|Snacks|Roasted Sunflower Seeds|sunflower seeds,salt|Vegan|Pakistani
Thyroid|Snacks|Yogurt with Seeds|yogurt,flaxseeds,chia seeds|Vegetarian|Pakistani
Thyroid|Snacks|Walnut Mix|walnuts,almonds,cashews|Vegan|Pakistani
Thyroid|Snacks|Coconut Water|coconut water|Vegan|Pakistani
Thyroid|Snacks|Cucumber with Yogurt Dip|cucumber,yogurt,salt,mint|Vegetarian|Pakistani
Thyroid|Snacks|Sprout Chaat|moong sprouts,tomato,lemon,chaat masala|Vegan|Pakistani
Thyroid|Snacks|Green Tea|green tea,ginger,lemon|Vegan|Pakistani
Thyroid|Snacks|Almond Smoothie|almonds,milk,banana|Vegetarian|Pakistani
Thyroid|Snacks|Namkeen Lassi|yogurt,water,salt,cumin|Vegetarian|Pakistani
Thyroid|Snacks|Chickpea Chaat|chickpeas,tomato,onion,chaat masala|Vegan|Pakistani
Thyroid|Snacks|Roasted Chana|chana,salt,cumin|Vegan|Pakistani
Thyroid|Snacks|Ajwain Water|ajwain,warm water|Vegan|Pakistani
Thyroid|Snacks|Methi Seeds Water|methi seeds,water|Vegan|Pakistani
Thyroid|Snacks|Selenium Smoothie|brazil nuts,banana,almond milk|Vegan|Pakistani
Thyroid|Snacks|Peanut Butter with Apple|apple,peanut butter|Vegan|Pakistani
Thyroid|Snacks|Tuna on Brown Toast|tuna,brown bread,lemon|Non-Vegetarian|Pakistani
Thyroid|Snacks|Chia Water|chia seeds,water,lemon|Vegan|Pakistani
Thyroid|Snacks|Tomato Soup|tomato,garlic,onion,salt|Vegan|Pakistani
Thyroid|Snacks|Lentil Soup Cup|masoor dal,water,garlic,salt|Vegan|Pakistani
Thyroid|Snacks|Mixed Seeds Mix|pumpkin seeds,sunflower seeds,flaxseeds|Vegan|Pakistani
Thyroid|Snacks|Dahi with Fruits|yogurt,banana,apple|Vegetarian|Pakistani
Thyroid|Snacks|Oat Biscuits|oats,honey,milk|Vegetarian|Pakistani
Thyroid|Snacks|Sattu Drink|sattu,water,lemon,salt|Vegan|Pakistani
Thyroid|Snacks|Herbal Tea|tulsi,ginger,water,honey|Vegan|Pakistani
Thyroid|Snacks|Carrot Sticks with Hummus|carrot,hummus|Vegan|Pakistani
Thyroid|Snacks|Bran Crackers|wheat bran crackers,salt|Vegan|Pakistani
PCOS|Breakfast|Methi Paratha with Dahi|methi,wheat flour,yogurt,salt|Vegetarian|Pakistani
PCOS|Breakfast|Daliya with Nuts|daliya,almonds,walnuts,milk|Vegetarian|Pakistani
PCOS|Breakfast|Spinach Omelette|egg,spinach,onion,salt|Non-Vegetarian|Pakistani
PCOS|Breakfast|Besan Chilla|besan,onion,tomato,green chili,salt|Vegetarian|Pakistani
PCOS|Breakfast|Whole Wheat Roti with Egg|wheat roti,egg,oil,salt|Non-Vegetarian|Pakistani
PCOS|Breakfast|Oats with Berries|oats,mixed berries,milk,honey|Vegetarian|Pakistani
PCOS|Breakfast|Chia Pudding|chia seeds,almond milk,honey|Vegan|Pakistani
PCOS|Breakfast|Flaxseed Smoothie|flaxseeds,banana,almond milk|Vegan|Pakistani
PCOS|Breakfast|Greek Yogurt with Seeds|yogurt,flaxseeds,pumpkin seeds|Vegetarian|Pakistani
PCOS|Breakfast|Sprout Salad|moong sprouts,tomato,cucumber,lemon|Vegan|Pakistani
PCOS|Breakfast|Avocado Toast|brown bread,avocado,salt,lemon|Vegan|Pakistani
PCOS|Breakfast|Egg Bhurji|eggs,onion,tomato,spices|Non-Vegetarian|Pakistani
PCOS|Breakfast|Moong Dal Cheela|moong dal,onion,coriander|Vegan|Pakistani
PCOS|Breakfast|Palak Paratha|spinach,wheat flour,oil,salt|Vegan|Pakistani
PCOS|Breakfast|Dahi with Flaxseeds|yogurt,flaxseeds,salt|Vegetarian|Pakistani
PCOS|Breakfast|Brown Rice Khichdi|brown rice,moong dal,turmeric|Vegan|Pakistani
PCOS|Breakfast|Mushroom Omelette|eggs,mushrooms,salt,pepper|Non-Vegetarian|Pakistani
PCOS|Breakfast|Lauki Juice|lauki,water,ginger,lemon|Vegan|Pakistani
PCOS|Breakfast|Cinnamon Oatmeal|oats,cinnamon,milk,almonds|Vegetarian|Pakistani
PCOS|Breakfast|Almond Butter Toast|brown bread,almond butter|Vegan|Pakistani
PCOS|Breakfast|Namkeen Daliya|daliya,vegetables,cumin,salt|Vegan|Pakistani
PCOS|Breakfast|Carrot Ginger Smoothie|carrot,ginger,orange,water|Vegan|Pakistani
PCOS|Breakfast|Whole Grain Roti with Dal|wheat roti,moong dal|Vegan|Pakistani
PCOS|Breakfast|Spearmint Tea with Toast|spearmint tea,brown toast|Vegan|Pakistani
PCOS|Breakfast|Turkey Omelette|turkey,eggs,onion,salt|Non-Vegetarian|Pakistani
PCOS|Breakfast|Pumpkin Seed Yogurt Bowl|yogurt,pumpkin seeds,honey|Vegetarian|Pakistani
PCOS|Breakfast|Ajwain Paratha|wheat flour,ajwain,oil,salt|Vegan|Pakistani
PCOS|Breakfast|Sattu Drink|sattu,water,lemon,salt|Vegan|Pakistani
PCOS|Breakfast|Masoor Soup|masoor,water,garlic,salt|Vegan|Pakistani
PCOS|Breakfast|Ragi Roti with Sabzi|ragi flour,mixed vegetables|Vegan|Pakistani
PCOS|Lunch|Grilled Chicken Salad|chicken,cucumber,tomato,lettuce,lemon|Non-Vegetarian|Pakistani
PCOS|Lunch|Masoor Dal with Brown Rice|masoor dal,brown rice,spices|Vegan|Pakistani
PCOS|Lunch|Palak Gosht|spinach,mutton,onion,tomato,spices|Non-Vegetarian|Pakistani
PCOS|Lunch|Methi Gosht|methi,mutton,onion,tomato,spices|Non-Vegetarian|Pakistani
PCOS|Lunch|Chana Dal|chana dal,onion,tomato,spices|Vegan|Pakistani
PCOS|Lunch|Fish Curry|fish,tomato,onion,spices|Non-Vegetarian|Pakistani
PCOS|Lunch|Lobia Curry|black eyed peas,onion,tomato,spices|Vegan|Pakistani
PCOS|Lunch|Chicken Yakhni|chicken,ginger,garlic,water,spices|Non-Vegetarian|Pakistani
PCOS|Lunch|Moong Dal Soup|moong dal,garlic,cumin,water|Vegan|Pakistani
PCOS|Lunch|Baingan Bharta|baingan,onion,tomato,spices|Vegan|Pakistani
PCOS|Lunch|Keema Methi|keema,methi,onion,tomato,spices|Non-Vegetarian|Pakistani
PCOS|Lunch|Brown Rice Pulao|brown rice,vegetables,cumin|Vegan|Pakistani
PCOS|Lunch|Grilled Tuna Salad|tuna,cucumber,tomato,lettuce|Non-Vegetarian|Pakistani
PCOS|Lunch|Bhindi Curry|bhindi,onion,tomato,spices|Vegan|Pakistani
PCOS|Lunch|Chicken Saag|chicken,spinach,onion,spices|Non-Vegetarian|Pakistani
PCOS|Lunch|Rajma Curry|kidney beans,onion,tomato,spices|Vegan|Pakistani
